algorithm,d,density,n_samples,n_valid,ds_mean,ds_std,ds_ci95_low,ds_ci95_high,dp_mean,dp_std,dp_ci95_low,dp_ci95_high,runtime_sec_mean,runtime_sec_std
boss,10,0.5,100,50,6.96,3.752332607858744,5.919906465744546,8.000093534255454,2.26,1.9463204426060272,1.7205074977351398,2.79949250226486,0.09401482108980418,0.021673869987424522
boss,10,0.5,500,50,2.12,2.2373453657659303,1.4998395046441608,2.7401604953558394,1.12,1.8913336186783274,0.5957490677166135,1.6442509322833867,0.10380904172081501,0.027864892859606943
boss,10,0.5,1000,50,0.76,1.4646863563401484,0.35400965528722234,1.1659903447127777,0.46,1.2157134463653307,0.12302142501339935,0.7969785749866007,0.10133441167883575,0.028745909427112908
boss,10,0.5,5000,50,0.26,0.6942915931555924,0.0675521888926767,0.45244781110732335,0.14,0.45220547975269754,0.01465503600064344,0.2653449639993566,0.10782588155474514,0.028902533679282274
boss,10,0.5,10000,50,0.12,0.5938459911664721,0.0,0.2846057107150295,0.1,0.4629100498862757,0.0,0.2283121194587635,0.10568896488286555,0.03176252359272048
boss,10,0.8,20,50,24.62,2.912954878203399,23.812570102114123,25.42742989788588,9.92,5.122340026485823,8.50015978363761,11.33984021636239,0.06446972245816142,0.01713645278878188
boss,10,0.8,50,50,20.84,3.4068358651753243,19.895673276879236,21.784326723120763,8.9,4.9948953534420255,7.515485644711475,10.284514355288525,0.08618498102761805,0.013860287889573625
boss,10,0.8,100,50,18.96,2.9620731846158708,18.138955202196616,19.781044797803386,11.62,6.150792217101728,9.915087380538228,13.32491261946177,0.10245604014024139,0.01854520055105751
boss,10,0.8,500,50,12.0,3.3806170189140663,11.062940770281836,12.937059229718164,7.58,5.2453672465348316,6.126058378063274,9.033941621936727,0.09483594198245555,0.020644713504506914
boss,10,0.8,1000,50,10.26,3.837569383804051,9.196280036851803,11.323719963148196,7.08,4.588539405687938,5.808121766834576,8.351878233165424,0.0897775086807087,0.014618484285052379
boss,10,0.8,5000,50,3.54,2.901160921747974,2.7358392200560884,4.344160779943912,2.7,3.265465557332132,1.7948591269863017,3.6051408730136987,0.07367794998455793,0.009170551492337893
boss,10,0.8,10000,50,2.42,2.665654569841015,1.6811182503268876,3.158881749673112,1.88,2.4548161741726395,1.199559671977035,2.560440328022965,0.07225070879328996,0.006399607846175761
ges,4,0.2,20,50,0.5,0.614451804788759,0.32968264915164985,0.6703173508483502,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003,0.01915869092568755,0.017392504634940412
ges,4,0.2,50,50,0.5,0.614451804788759,0.32968264915164985,0.6703173508483502,0.04,0.19794866372215741,0.0,0.09486857023834319,0.01626810145098716,0.00447108644577479
ges,4,0.2,100,50,0.24,0.5174505793221381,0.09657001708150417,0.38342998291849584,0.06,0.23989793748209523,0.0,0.12649631568741232,0.01786102741956711,0.0039002400667900263
ges,4,0.2,500,50,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003,0.02,0.14142135623730948,0.0,0.05919999999999999,0.01748050395399332,0.0039834083315070205
ges,4,0.2,1000,50,0.08,0.27404751561786966,0.004037904188997007,0.155962095811003,0.04,0.19794866372215741,0.0,0.09486857023834319,0.016690236059948804,0.0038711810919395463
ges,4,0.2,5000,50,0.02,0.1414213562373095,0.0,0.0592,0.0,0.0,0.0,0.0,0.017074652127921582,0.0037802275694767745
ges,4,0.2,10000,50,0.02,0.14142135623730948,0.0,0.05919999999999999,0.0,0.0,0.0,0.0,0.01851925963535905,0.0035752144264394547
ges,4,0.5,20,50,0.78,0.9749934589000888,0.5097456013308942,1.050254398669106,0.32,0.6207303137828695,0.1479423352477432,0.4920576647522568,0.014474801504984498,0.004093544473491843
ges,4,0.5,50,50,0.4,0.8081220356417685,0.17600000000000005,0.624,0.28,0.7010196655077312,0.08568726238354835,0.4743127376164517,0.015993042001500726,0.004755153251774136
ges,4,0.5,100,50,0.2,0.45175395145262565,0.07478019326001178,0.32521980673998824,0.0,0.0,0.0,0.0,0.014331573294475675,0.004561639054344982
ges,4,0.5,500,50,0.06,0.23989793748209523,0.0,0.12649631568741232,0.08,0.39589732744431483,0.0,0.18973714047668638,0.015425615734420717,0.004431536888158683
ges,4,0.5,1000,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016169665404595433,0.004860666865831117
