run_id,algorithm,d,density,n_samples,ds,dp,runtime_sec,graph_seed,noise_seed,status,error_message
37,pc,5,0.2,50,1.0,0.0,0.008573685074225068,3970562664,4003165870,ok,
37,ges,5,0.2,50,0.0,0.0,0.012444873107597232,3970562664,4003165870,ok,
37,boss,5,0.2,50,0.0,0.0,0.009704309981316328,3970562664,4003165870,ok,
38,pc,5,0.2,50,0.0,0.0,0.012398082995787263,793061391,493631900,ok,
38,ges,5,0.2,50,1.0,0.0,0.01475432119332254,793061391,493631900,ok,
38,boss,5,0.2,50,0.0,0.0,0.010510411113500595,793061391,493631900,ok,
39,pc,5,0.2,50,0.0,0.0,0.012264925055205822,568482946,3131096085,ok,
39,ges,5,0.2,50,2.0,0.0,0.03716571209952235,568482946,3131096085,ok,
39,boss,5,0.2,50,0.0,0.0,0.010593994986265898,568482946,3131096085,ok,
40,pc,5,0.2,50,0.0,0.0,0.012217197101563215,4167506852,3983255441,ok,
40,ges,5,0.2,50,1.0,0.0,0.010487111052498221,4167506852,3983255441,ok,
40,boss,5,0.2,50,0.0,0.0,0.010094332974404097,4167506852,3983255441,ok,
41,pc,5,0.2,50,0.0,0.0,0.008385653840377927,2870073558,4157211329,ok,
41,ges,5,0.2,50,0.0,0.0,0.009078776929527521,2870073558,4157211329,ok,
41,boss,5,0.2,50,0.0,0.0,0.006947856163606048,2870073558,4157211329,ok,
42,pc,5,0.2,50,1.0,0.0,0.029630954144522548,3742048738,63163097,ok,
42,ges,5,0.2,50,1.0,1.0,0.015185877215117216,3742048738,63163097,ok,
42,boss,5,0.2,50,0.0,0.0,0.010893447091802955,3742048738,63163097,ok,
43,pc,5,0.2,50,0.0,0.0,0.011884973850101233,512118427,3709305942,ok,
43,ges,5,0.2,50,1.0,0.0,0.019085386069491506,512118427,3709305942,ok,
43,boss,5,0.2,50,0.0,0.0,0.010601345915347338,512118427,3709305942,ok,
44,pc,5,0.2,50,0.0,0.0,0.011895713163539767,353727752,4214200607,ok,
44,ges,5,0.2,50,0.0,0.0,0.012839257018640637,353727752,4214200607,ok,
44,boss,5,0.2,50,0.0,0.0,0.010631105862557888,353727752,4214200607,ok,
45,pc,5,0.2,50,0.0,0.0,0.012181242927908897,3553548098,4111186415,ok,
45,ges,5,0.2,50,1.0,0.0,0.014962354907765985,3553548098,4111186415,ok,
45,boss,5,0.2,50,0.0,0.0,0.010248987004160881,3553548098,4111186415,ok,
46,pc,5,0.2,50,0.0,0.0,0.012329499935731292,1547573342,638936566,ok,
46,ges,5,0.2,50,2.0,1.0,0.01676127500832081,1547573342,638936566,ok,
46,boss,5,0.2,50,0.0,0.0,0.01076870714314282,1547573342,638936566,ok,
47,pc,5,0.2,50,0.0,0.0,0.01193957100622356,2219916895,4177408945,ok,
47,ges,5,0.2,50,1.0,0.0,0.03179188910871744,2219916895,4177408945,ok,
47,boss,5,0.2,50,0.0,0.0,0.010739065008237958,2219916895,4177408945,ok,
48,pc,5,0.2,50,1.0,1.0,0.014727243920788169,1577207395,3822244106,ok,
48,ges,5,0.2,50,1.0,0.0,0.011004141997545958,1577207395,3822244106,ok,
48,boss,5,0.2,50,0.0,0.0,0.010475595016032457,1577207395,3822244106,ok,
49,pc,5,0.2,50,0.0,0.0,0.013635981129482388,1648545588,3532068693,ok,
49,ges,5,0.2,50,0.0,0.0,0.014309699879959226,1648545588,3532068693,ok,
49,boss,5,0.2,50,0.0,0.0,0.011824649991467595,1648545588,3532068693,ok,
0,pc,5,0.2,100,0.0,0.0,0.009360471041873097,986036104,2061532434,ok,
0,ges,5,0.2,100,0.0,0.0,0.009118721121922135,986036104,2061532434,ok,
0,boss,5,0.2,100,0.0,0.0,0.006750592030584812,986036104,2061532434,ok,
1,pc,5,0.2,100,0.0,0.0,0.01391916605643928,1403794317,998034089,ok,
1,ges,5,0.2,100,0.0,0.0,0.014088856056332588,1403794317,998034089,ok,
1,boss,5,0.2,100,0.0,0.0,0.011741395108401775,1403794317,998034089,ok,
2,pc,5,0.2,100,1.0,0.0,0.008345616981387138,3834058319,3444050859,ok,
2,ges,5,0.2,100,0.0,0.0,0.010983564192429185,3834058319,3444050859,ok,
2,boss,5,0.2,100,0.0,0.0,0.008757230127230287,3834058319,3444050859,ok,
3,pc,5,0.2,100,0.0,0.0,0.012989669106900692,599818472,3966531832,ok,
3,ges,5,0.2,100,0.0,0.0,0.012991644209250808,599818472,3966531832,ok,
3,boss,5,0.2,100,0.0,0.0,0.010712065966799855,599818472,3966531832,ok,
4,pc,5,0.2,100,0.0,0.0,0.013041428057476878,4170292568,1143020814,ok,
4,ges,5,0.2,100,0.0,0.0,0.013026478001847863,4170292568,1143020814,ok,
4,boss,5,0.2,100,0.0,0.0,0.010779930977150798,4170292568,1143020814,ok,
